test_id,layer,requirements,result,classification,duration_ms,name,details

P45-MAN-001,manifest,TST-001|TST-009,PASS,PASS_EXACT,0.20000000298023224,Every declared test uses a known requirement identifier,"{""knownRequirements"":77,""checkedTests"":276}"

MF-ID-001,manifest,TST-001|TST-006,PASS,PASS_EXACT,0,Test IDs are unique,{}

MF-FEAT-001,manifest,TST-001,PASS,PASS_EXACT,0.20000000298023224,Every feature maps requirements and tests,{}

MF-MOD-001,manifest,TST-006,PASS,PASS_EXACT,19.200000002980232,Feature module paths exist,"{""declaredModules"":67,""existingModules"":67,""missingModules"":[]}"

MF-PROD-001,manifest,TST-004,PASS,PASS_EXACT,30.299999997019768,Production bundle excludes test API,"{""artifact"":""browser_files/dist/bundle.prod.html"",""sizeBytes"":147453,""checks"":{""test_api_absent"":true,""test_registration_absent"":true,""test_controls_absent"":true,""test_fixtures_absent"":true,""mock_transport_absent"":true,""contract_fixture_absent"":true,""integration_scenario_absent"":true,""visual_baseline_absent"":true,""p45_closure_absent"":true},""forbiddenMatches"":[]}"

MF-PROD-002,manifest,TST-004,PASS,PASS_EXACT,31.5,Production bundle excludes test fixtures and controls,"{""artifact"":""browser_files/dist/bundle.prod.html"",""checks"":{""test_api_absent"":true,""test_registration_absent"":true,""test_controls_absent"":true,""test_fixtures_absent"":true,""mock_transport_absent"":true,""contract_fixture_absent"":true,""integration_scenario_absent"":true,""visual_baseline_absent"":true,""p45_closure_absent"":true},""forbiddenMatches"":[]}"

MF-ARC-001,manifest,ARC-010,PASS,PASS_EXACT,0,Shared architecture modules declare interfaces,"{""modules"":8}"

MF-ARC-002,manifest,ARC-010|TST-006,PASS,PASS_EXACT,0.20000000298023224,Architecture dependencies resolve,"{""dependencyErrors"":[]}"

MF-ARC-003,manifest,ARC-004,PASS,PASS_EXACT,0.09999999403953552,One primary browser control is declared,"{""primaryBrowserControls"":1}"

MF-ARC-004,manifest,ARC-007|TST-004,PASS,PASS_EXACT,46.19999998807907,Production bundle rejects browser native and test assumptions,"{""forbiddenMatches"":[]}"

MF-ST-001,manifest,ARC-001|TST-001,PASS,PASS_EXACT,0,Starter manifest declares canonical production entrypoint,"{""launcher"":""app/starter_main.sce"",""bundle"":""browser_files/dist/bundle.prod.html""}"

MF-ST-002,manifest,ARC-010|TST-006,PASS,PASS_EXACT,39.6000000089407,Starter required module paths exist,"{""declared"":9,""existing"":9,""missing"":[]}"

MF-ST-003,manifest,ARC-010|TST-006,PASS,PASS_EXACT,0.09999999403953552,Starter profile disables optional test and plotting layers,"{""build_mode"":""production"",""include_plotting"":false,""include_testing"":false,""jcef_debug"":false}"

MF-ST-004,manifest,TST-004|ARC-007,PASS,PASS_EXACT,48.099999994039536,Starter production bundle excludes optional and test source,"{""artifact"":""browser_files/dist/bundle.prod.html"",""checks"":{""test_api_absent"":true,""test_registration_absent"":true,""test_controls_absent"":true,""test_fixtures_absent"":true,""mock_transport_absent"":true,""contract_fixture_absent"":true,""integration_scenario_absent"":true,""visual_baseline_absent"":true,""p45_closure_absent"":true},""forbiddenMatches"":[]}"

MF-APP-001,manifest,CMP-004|TST-001,PASS,PASS_EXACT,0.20000000298023224,Application manifest has complete separate identity,"{""application"":""0.8.7-m8.7"",""foundation"":""P6.4.0-0.1""}"

MF-APP-002,manifest,ARC-010|TST-006,PASS,PASS_EXACT,42.70000000298023,Application modules resolve,"{""declared"":17,""existing"":17}"

MF-APP-003,manifest,ARC-010|AIG-003,PASS,PASS_EXACT,0.20000000298023224,Foundation and application ownership is complete,"{""classifications"":[""foundation-owned"",""application-owned"",""generated"",""test-only"",""example-only"",""evidence""],""editableRoots"":[""application/"",""browser_files/js/application/""]}"

MF-APP-004,manifest,AIG-001|AIG-004,PASS,PASS_EXACT,0,Derivation policy protects foundation source,"{""derivation_modifies_protected_files"":false,""generated_is_primary_source"":false}"

